ID,Name,Description,ReleaseDate,DiscontinuedDate,Price,Height,Width,Depth,Quantity,SalesOrder_ID
876e1234-f56c-35b2-a852-526614895024,Laptop Dell,Dell Inspiron,2023-01-01,,800.00,2.000,30.000,20.000,100,435e2567-e29b-82d3-a856-526614274050
663e7891-f12e-91b3-d456-526614321035,Smartphone Samsung,Samsung Galaxy,2023-02-01,,500.00,0.700,7.000,14.000,200,255e6873-e71b-75d3-d459-826614689052
320e6599-e23f-79b9-a958-826614523046,Tablet Apple,Apple iPad,2023-03-01,,600.00,0.500,15.000,20.000,150,245e9834-e69c-94d2-e853-326614695056
953e1477-d39b-57d3-e456-726614369057,Monitor LG,LG UltraFine,2023-04-01,,300.00,40.000,60.000,10.000,75,114e7690-d12d-40f3-e456-426614321067
142e2499-d21d-65d3-d459-226614478068,Keyboard Logitech,Logitech G Pro,2023-05-01,,100.00,2.500,45.000,15.000,50,975e5468-d23e-38d9-a459-826614523089
532e5363-d89c-62d3-d456-126614875079,Mouse Razer,Razer Viper,2023-06-01,,60.00,1.200,6.000,12.000,300,468e8524-d14c-37d3-a459-526614985072
225e8825-d14d-38d3-d459-126614985080,Headset Sony,Sony WH-1000XM4,2023-07-01,,200.00,2.000,18.000,20.000,80,753e2149-d21d-65d3-a459-226614478081
975e9633-c25e-89f3-d459-526614789082,Printer Canon,Canon PIXMA,2023-08-01,,120.00,30.000,40.000,35.000,45,149e7563-d89c-12d3-a456-426614875083
236e8526-c14e-38d3-d459-526614985084,Hard Drive Seagate,Seagate Barracuda,2023-09-01,,75.00,2.500,10.000,15.000,500,963e8524-c14c-37d3-a459-526614985085
486e9634-b25f-90f3-d459-526614789086,Router TP-Link,TP-Link Archer,2023-10-01,,50.00,3.000,20.000,15.000,120,574e9632-b25d-89f3-a459-526614789087
694e9637-f26g-91h4-j561-626615890124,SSD Kingston,Kingston A2000,2023-11-01,,70.00,0.200,10.000,7.000,500,574e9632-b25d-89f3-a459-526614789087

